Value,Occurrences,Indices
111,1,[10]
141,1,[4]
164,1,[13]
178,1,[14]
184,3,"[16, 21, 22]"
185,2,"[0, 5]"
190,1,[3]
193,1,[7]
194,2,"[2, 19]"
196,1,[18]
200,1,[9]
202,1,[23]
213,1,[17]
218,2,"[11, 27]"
227,1,[8]
232,1,[25]
240,1,[20]
246,1,[12]
249,1,[28]
251,3,"[6, 15, 24]"
253,1,[26]
254,1,[1]
