Value,Occurrences,Indices
125,85,"[46, 51, 77, 85, 96, 214, 234, 284, 288, 291, 292, 377, 383, 395, 572, 601, 614, 640, 649, 654, 678, 746, 751, 849, 863, 914, 915, 953, 1004, 1020, 1021, 1034, 1069, 1096, 1106, 1149, 1198, 1230, 1266, 1300, 1310, 1332, 1374, 1405, 1411, 1421, 1519, 1533, 1619, 1664, 1678, 1702, 1746, 1841, 1887, 1905, 1978, 1983, 2015, 2048, 2065, 2100, 2127, 2146, 2207, 2227, 2237, 2332, 2334, 2344, 2364, 2409, 2440, 2462, 2489, 2501, 2587, 2685, 2740, 2752, 2753, 2976, 2980, 2982, 3023]"
126,44,"[110, 122, 136, 226, 307, 344, 409, 413, 450, 732, 736, 749, 792, 830, 883, 995, 1005, 1070, 1100, 1449, 1457, 1470, 1513, 1661, 1704, 1720, 1778, 1979, 1993, 2103, 2157, 2212, 2217, 2272, 2280, 2349, 2406, 2431, 2492, 2532, 2588, 2790, 2877, 2950]"
127,43,"[52, 139, 352, 408, 667, 682, 729, 750, 839, 867, 879, 933, 1045, 1122, 1153, 1155, 1171, 1227, 1273, 1473, 1474, 1562, 1580, 1691, 1728, 1784, 1867, 1980, 2037, 2049, 2262, 2276, 2314, 2382, 2530, 2535, 2762, 2773, 2779, 2864, 2937, 2979, 3014]"
128,39,"[40, 121, 340, 402, 486, 521, 644, 773, 852, 970, 1131, 1139, 1147, 1272, 1298, 1357, 1365, 1366, 1383, 1547, 1549, 1622, 1689, 1700, 1775, 1857, 1893, 1929, 1981, 2011, 2285, 2350, 2488, 2504, 2529, 2640, 2656, 2832, 2906]"
129,51,"[65, 105, 182, 293, 415, 448, 469, 664, 690, 757, 765, 947, 959, 963, 1003, 1037, 1118, 1350, 1439, 1478, 1509, 1538, 1559, 1565, 1596, 1711, 1729, 1788, 1822, 1834, 1906, 2004, 2034, 2109, 2190, 2241, 2294, 2300, 2331, 2341, 2434, 2574, 2579, 2661, 2662, 2798, 2827, 2848, 2862, 2956, 3000]"
130,38,"[7, 95, 149, 200, 221, 272, 283, 327, 330, 346, 422, 602, 693, 739, 990, 1019, 1236, 1257, 1308, 1363, 1571, 1576, 1742, 1812, 1813, 1815, 2169, 2469, 2493, 2581, 2594, 2623, 2761, 2777, 2806, 2861, 3015, 3025]"
131,31,"[70, 133, 164, 180, 325, 326, 348, 363, 367, 556, 817, 853, 874, 913, 1182, 1285, 1388, 1403, 1587, 1741, 1794, 1852, 2076, 2102, 2234, 2336, 2359, 2372, 2559, 2931, 3032]"
132,31,"[12, 216, 398, 435, 520, 596, 653, 740, 745, 1113, 1288, 1426, 1564, 1673, 1681, 1739, 1792, 1807, 1847, 1879, 1896, 1966, 2193, 2353, 2478, 2539, 2585, 2634, 2807, 3052, 3057]"
133,35,"[103, 198, 209, 228, 268, 278, 333, 365, 468, 542, 551, 564, 821, 1067, 1137, 1151, 1454, 1665, 1683, 1695, 1699, 1708, 1756, 1804, 2013, 2264, 2278, 2337, 2380, 2463, 2650, 2865, 2955, 2977, 3011]"
134,27,"[181, 203, 372, 508, 522, 549, 677, 683, 811, 888, 902, 937, 1030, 1233, 1252, 1353, 1554, 1697, 1848, 2181, 2257, 2328, 2541, 2958, 2985, 3010, 3029]"
