Value,Occurrences,Indices
107,87,"[30, 32, 66, 67, 88, 104, 137, 178, 217, 223, 307, 311, 340, 368, 386, 406, 418, 482, 526, 585, 641, 679, 705, 720, 737, 806, 832, 834, 842, 862, 907, 946, 962, 1023, 1025, 1109, 1213, 1226, 1273, 1281, 1312, 1367, 1418, 1439, 1487, 1507, 1536, 1737, 1744, 1931, 1960, 1967, 2018, 2040, 2125, 2127, 2176, 2296, 2347, 2374, 2382, 2427, 2469, 2551, 2566, 2627, 2641, 2662, 2666, 2727, 2750, 2760, 2783, 2799, 2820, 2822, 2842, 2850, 2851, 2855, 2860, 2875, 2939, 2941, 3000, 3002, 3007]"
108,15,"[142, 193, 521, 623, 736, 949, 1002, 1237, 1515, 1602, 2006, 2421, 2730, 2789, 2899]"
109,67,"[21, 98, 106, 194, 208, 228, 319, 336, 461, 476, 522, 547, 570, 624, 635, 689, 748, 797, 972, 1039, 1089, 1132, 1145, 1147, 1159, 1185, 1227, 1283, 1321, 1346, 1474, 1587, 1624, 1706, 1725, 1869, 1877, 1924, 1976, 1980, 2027, 2067, 2102, 2108, 2120, 2205, 2215, 2259, 2282, 2316, 2321, 2380, 2395, 2397, 2510, 2603, 2701, 2720, 2733, 2755, 2827, 2880, 2913, 2951, 2991, 2996, 3015]"
110,60,"[28, 41, 63, 118, 141, 172, 182, 188, 231, 240, 300, 308, 312, 314, 317, 391, 548, 591, 659, 723, 836, 837, 957, 991, 1014, 1033, 1080, 1126, 1432, 1482, 1500, 1581, 1638, 1715, 1748, 1756, 1757, 1778, 1780, 1813, 1816, 1912, 2017, 2047, 2091, 2140, 2187, 2208, 2371, 2439, 2453, 2455, 2463, 2516, 2558, 2636, 2659, 2687, 2692, 2867]"
111,11,"[472, 497, 502, 512, 1636, 1746, 1893, 2309, 2846, 2914, 2984]"
112,53,"[122, 124, 479, 550, 696, 734, 743, 790, 807, 987, 992, 998, 1051, 1061, 1088, 1113, 1115, 1120, 1229, 1263, 1287, 1365, 1377, 1382, 1384, 1479, 1517, 1527, 1572, 1659, 1804, 1840, 1910, 1917, 1984, 2005, 2106, 2178, 2255, 2386, 2440, 2452, 2493, 2503, 2710, 2815, 2859, 2885, 2886, 2927, 2992, 3009, 3020]"
113,60,"[111, 119, 134, 135, 177, 199, 233, 264, 283, 382, 453, 499, 569, 573, 615, 669, 702, 857, 901, 915, 926, 953, 1024, 1093, 1152, 1231, 1289, 1333, 1337, 1380, 1411, 1431, 1552, 1554, 1735, 1741, 1796, 1798, 1826, 1928, 1962, 1994, 2048, 2049, 2055, 2325, 2352, 2409, 2432, 2470, 2507, 2514, 2595, 2748, 2872, 2948, 2982, 2983, 3008, 3026]"
114,24,"[138, 419, 608, 678, 860, 1063, 1073, 1446, 1547, 1648, 1680, 1819, 1862, 1952, 2051, 2052, 2190, 2312, 2367, 2521, 2763, 2804, 2944, 3011]"
115,6,"[587, 782, 1288, 1913, 2230, 2238]"
116,15,"[201, 1334, 1395, 1646, 1647, 1876, 1907, 1923, 2136, 2144, 2621, 2674, 2680, 2794, 2831]"
117,14,"[653, 1483, 1538, 1691, 1723, 1818, 2030, 2126, 2159, 2334, 2339, 2821, 2971, 3013]"
118,6,"[1210, 1844, 1908, 2513, 2736, 2919]"
119,1,[2399]
120,2,"[2522, 2717]"
121,7,"[265, 286, 612, 762, 1567, 1835, 2930]"
122,3,"[936, 2182, 2467]"
123,4,"[897, 1006, 1888, 2216]"
124,3,"[1157, 1671, 2709]"
125,1,[2531]
126,1,[2362]
127,1,[1335]
128,1,[29]
129,4,"[84, 558, 647, 2540]"
130,7,"[57, 72, 440, 1201, 2020, 2073, 2753]"
131,2,"[1180, 1596]"
132,1,[1326]
133,4,"[598, 1233, 1692, 2184]"
134,3,"[99, 1040, 2904]"
135,4,"[1364, 2283, 2330, 2771]"
136,11,"[205, 413, 802, 1050, 1190, 1349, 1576, 2433, 2651, 2676, 2932]"
137,3,"[1605, 2007, 2228]"
138,7,"[326, 604, 1178, 1245, 1442, 1503, 2326]"
139,9,"[52, 1160, 1610, 2175, 2223, 2637, 2640, 2655, 2786]"
140,6,"[96, 506, 780, 808, 824, 1175]"
141,11,"[259, 707, 1385, 1456, 1872, 2212, 2346, 2390, 2425, 2446, 2564]"
142,8,"[239, 1369, 1478, 1742, 1937, 2590, 2884, 3003]"
143,7,"[589, 934, 1510, 1711, 1881, 1982, 2254]"
144,14,"[159, 384, 664, 979, 985, 1008, 1052, 1345, 1953, 2137, 2154, 2547, 2672, 2784]"
145,11,"[202, 486, 539, 1235, 1473, 1614, 1655, 1745, 2272, 2477, 2625]"
146,10,"[112, 731, 1030, 1078, 1830, 2491, 2523, 2532, 2539, 2766]"
147,17,"[128, 256, 795, 844, 1017, 1054, 1167, 1427, 1528, 1548, 1617, 1704, 1871, 1999, 2340, 2849, 2912]"
148,11,"[127, 338, 1265, 1626, 1627, 1759, 2118, 2277, 2379, 2471, 2990]"
149,9,"[1853, 1887, 2092, 2270, 2323, 2537, 2646, 2881, 2998]"
150,9,"[299, 760, 1402, 1540, 1560, 1846, 2243, 2260, 2420]"
151,7,"[180, 331, 379, 441, 1815, 1969, 2722]"
152,12,"[316, 350, 494, 981, 1001, 1090, 1146, 1282, 1856, 2478, 2712, 2938]"
153,11,"[918, 930, 942, 1057, 1293, 1779, 1793, 2053, 2628, 2731, 2917]"
154,10,"[469, 752, 1252, 1791, 2009, 2290, 2295, 2304, 2588, 2765]"
155,15,"[110, 348, 396, 801, 831, 1609, 1810, 1849, 2057, 2356, 2496, 2515, 2592, 2704, 2900]"
156,14,"[71, 554, 683, 1020, 1069, 1125, 1249, 1486, 1558, 2179, 2460, 2578, 2895, 2985]"
157,10,"[781, 896, 943, 1042, 1239, 1608, 1983, 2065, 2160, 2840]"
158,12,"[452, 1038, 1121, 1238, 1299, 1618, 1821, 1867, 1973, 2448, 2570, 2589]"
159,11,"[184, 270, 828, 928, 1294, 1559, 1652, 1714, 1728, 2681, 2861]"
160,10,"[26, 293, 817, 1105, 1318, 1436, 1550, 2079, 2226, 2699]"
161,11,"[145, 190, 216, 271, 738, 1276, 1537, 1549, 2351, 2430, 2601]"
162,5,"[332, 389, 1212, 2139, 2318]"
163,14,"[25, 86, 323, 447, 588, 929, 1022, 1091, 1305, 1458, 1783, 1936, 2638, 2671]"
164,12,"[467, 874, 959, 994, 1172, 1176, 1463, 1902, 2000, 2495, 2583, 2732]"
165,11,"[36, 203, 838, 889, 1087, 1331, 1997, 2121, 2122, 2569, 2863]"
166,11,"[254, 804, 1004, 1086, 1449, 1750, 2001, 2305, 2385, 2788, 2826]"
167,12,"[123, 693, 917, 931, 1116, 1425, 2110, 2135, 2375, 2528, 2892, 3001]"
168,15,"[179, 322, 358, 540, 721, 922, 932, 1598, 1686, 1891, 1946, 1988, 2252, 2857, 2858]"
169,16,"[405, 417, 439, 1133, 1291, 1471, 1708, 1901, 2071, 2093, 2194, 2240, 2617, 2658, 2757, 2949]"
170,13,"[375, 518, 698, 910, 1037, 1097, 1168, 1405, 2555, 2663, 2746, 3016, 3024]"
171,14,"[83, 580, 846, 849, 1065, 1585, 1762, 2111, 2511, 2552, 2615, 2669, 2769, 2934]"
172,16,"[108, 400, 812, 1208, 1389, 1592, 1629, 1682, 1767, 1786, 1857, 2038, 2124, 2286, 2631, 2963]"
173,19,"[101, 155, 277, 465, 501, 542, 631, 1522, 1785, 2328, 2338, 2461, 2543, 2577, 2591, 2864, 2896, 2981, 3004]"
174,14,"[183, 290, 559, 947, 1219, 1824, 1832, 1991, 2164, 2275, 2281, 2413, 2616, 2758]"
175,17,"[374, 427, 572, 863, 1035, 1127, 1360, 1378, 1516, 1663, 1864, 1914, 2410, 2544, 2698, 2706, 2994]"
176,9,"[8, 454, 672, 906, 1480, 1790, 2422, 2761, 2805]"
177,12,"[435, 732, 776, 1553, 1556, 1939, 2134, 2166, 2264, 2396, 2654, 2776]"
178,17,"[158, 711, 756, 813, 903, 1130, 1324, 1760, 1807, 2105, 2193, 2311, 2645, 2708, 2803, 2868, 2924]"
179,22,"[77, 195, 345, 557, 652, 663, 887, 1082, 1679, 1712, 1743, 1954, 2096, 2189, 2199, 2249, 2313, 2407, 2791, 2806, 2812, 2847]"
180,28,"[3, 363, 373, 399, 403, 519, 535, 636, 637, 695, 712, 796, 969, 1169, 1414, 1495, 1633, 1660, 1690, 1701, 1906, 1929, 2103, 2192, 2289, 2418, 2624, 2887]"
181,25,"[318, 577, 648, 960, 1272, 1350, 1755, 1781, 1800, 1814, 1866, 1884, 1956, 2034, 2100, 2202, 2206, 2354, 2456, 2512, 2567, 2685, 2690, 2778, 2946]"
182,23,"[95, 174, 356, 421, 433, 489, 1166, 1376, 1512, 1594, 1668, 1732, 1789, 1863, 1975, 2022, 2276, 2303, 2419, 2497, 2584, 2696, 2882]"
183,21,"[192, 197, 252, 392, 656, 699, 729, 794, 1149, 1421, 1542, 1806, 2050, 2345, 2372, 2462, 2494, 2533, 2770, 2955, 2975]"
184,21,"[243, 295, 459, 549, 596, 676, 975, 1010, 1101, 1234, 1269, 1641, 1897, 1974, 1993, 2043, 2165, 2195, 2377, 2575, 2664]"
185,26,"[224, 246, 370, 464, 798, 875, 940, 996, 1643, 1673, 1697, 1699, 2112, 2148, 2197, 2219, 2342, 2393, 2417, 2563, 2823, 2824, 2825, 2833, 2856, 2907]"
186,29,"[33, 191, 305, 357, 415, 552, 650, 858, 880, 882, 980, 1044, 1197, 1297, 1400, 1457, 1615, 1631, 1700, 2063, 2213, 2387, 2405, 2556, 2686, 2694, 2707, 2878, 2936]"
187,29,"[42, 74, 222, 236, 301, 568, 1094, 1144, 1192, 1250, 1280, 1340, 1484, 1575, 1978, 2078, 2188, 2288, 2441, 2444, 2483, 2652, 2675, 2728, 2777, 2908, 2918, 2920, 2947]"
188,29,"[62, 150, 156, 226, 355, 524, 581, 697, 742, 750, 753, 924, 1015, 1131, 1184, 1348, 1398, 1469, 1718, 1837, 1854, 2061, 2265, 2358, 2585, 2739, 2781, 2828, 2834]"
189,29,"[113, 351, 445, 629, 645, 649, 775, 935, 1290, 1303, 1465, 1535, 1612, 1653, 1656, 1687, 1731, 1941, 2074, 2183, 2274, 2424, 2642, 2683, 2754, 2961, 2962, 2977, 2988]"
190,33,"[291, 328, 376, 381, 503, 820, 879, 933, 1000, 1012, 1216, 1491, 1544, 1584, 1600, 1651, 1672, 1777, 1811, 2024, 2084, 2201, 2242, 2248, 2253, 2502, 2565, 2587, 2610, 2647, 2800, 2915, 3028]"
191,30,"[43, 89, 107, 144, 241, 438, 642, 673, 791, 864, 958, 1064, 1251, 1347, 1356, 1563, 1613, 1738, 1812, 1950, 1992, 2115, 2117, 2168, 2233, 2449, 2554, 2598, 2901, 3027]"
192,35,"[4, 58, 168, 260, 383, 436, 456, 466, 500, 507, 716, 747, 1076, 1173, 1177, 1182, 1183, 1323, 1325, 1352, 1401, 1441, 1561, 1574, 1720, 2069, 2198, 2210, 2357, 2457, 2509, 2634, 2741, 2744, 2844]"
193,23,"[65, 397, 564, 727, 754, 876, 886, 1134, 1199, 1506, 1514, 1533, 1562, 1664, 1852, 1873, 2021, 2046, 2426, 2630, 2716, 2726, 2905]"
194,33,"[6, 24, 38, 56, 114, 225, 253, 337, 425, 462, 628, 632, 660, 685, 823, 1261, 1267, 1399, 1477, 1489, 1546, 1593, 1770, 1805, 1938, 1979, 2058, 2082, 2220, 2257, 2546, 2742, 2773]"
195,25,"[81, 102, 157, 185, 304, 493, 555, 638, 1155, 1359, 1368, 1454, 1508, 1684, 1719, 1959, 2072, 2076, 2145, 2196, 2207, 2237, 2480, 2793, 2852]"
196,35,"[263, 394, 468, 530, 605, 614, 619, 759, 767, 772, 974, 976, 1021, 1071, 1150, 1189, 1230, 1301, 1493, 1693, 1717, 1772, 1909, 1911, 1925, 2083, 2337, 2466, 2519, 2535, 2735, 2743, 2916, 2943, 2957]"
197,39,"[51, 109, 171, 229, 279, 487, 527, 536, 694, 715, 894, 937, 990, 1079, 1108, 1206, 1327, 1336, 1639, 1669, 1675, 1848, 1883, 1943, 2186, 2241, 2284, 2324, 2479, 2484, 2498, 2524, 2559, 2605, 2618, 2682, 2724, 2987, 3017]"
198,35,"[23, 44, 61, 170, 371, 414, 450, 532, 533, 556, 567, 582, 839, 898, 1100, 1162, 1211, 1306, 1409, 1532, 1607, 1634, 1665, 1702, 1721, 1766, 1904, 2029, 2239, 2392, 2438, 2475, 2643, 2780, 2967]"
199,37,"[2, 136, 149, 255, 354, 369, 401, 408, 474, 495, 546, 681, 744, 810, 869, 884, 905, 1165, 1196, 1240, 1296, 1386, 1586, 1661, 1666, 1709, 1808, 1921, 2119, 2244, 2267, 2400, 2586, 2632, 2854, 2922, 2959]"
