Value,Occurrences,Indices
157,22,"[522, 552, 661, 697, 858, 962, 1051, 1230, 1320, 1327, 1363, 1504, 1509, 1585, 2085, 2397, 2421, 2442, 2465, 2880, 2928, 3011]"
158,14,"[52, 446, 804, 848, 1090, 1243, 1369, 1748, 1829, 1921, 2304, 2677, 2687, 2886]"
159,14,"[392, 547, 791, 872, 931, 1068, 1075, 1133, 1549, 1981, 2254, 2310, 2705, 3024]"
160,11,"[192, 290, 387, 631, 1037, 1601, 1720, 2082, 2127, 2832, 2982]"
161,24,"[114, 184, 199, 360, 383, 495, 564, 585, 594, 704, 756, 1300, 1508, 1558, 1664, 2026, 2074, 2154, 2241, 2432, 2474, 2522, 2551, 2933]"
162,22,"[109, 152, 297, 370, 410, 459, 755, 1456, 1716, 2030, 2132, 2184, 2392, 2487, 2563, 2659, 2674, 2707, 2859, 2948, 2967, 3034]"
163,20,"[195, 337, 709, 1116, 1270, 1729, 1928, 1993, 2001, 2027, 2092, 2120, 2247, 2364, 2376, 2523, 2618, 2777, 2779, 2974]"
164,23,"[158, 205, 771, 1087, 1139, 1339, 1340, 1460, 1663, 1842, 1857, 2070, 2219, 2357, 2486, 2555, 2613, 2743, 2949, 2956, 2970, 2995, 3008]"
165,21,"[320, 496, 545, 808, 854, 1041, 1118, 1215, 1438, 1472, 1975, 2045, 2266, 2268, 2282, 2378, 2406, 2512, 2542, 2662, 3039]"
166,28,"[22, 94, 202, 236, 249, 310, 559, 968, 999, 1078, 1200, 1274, 1344, 1395, 1425, 1426, 1636, 1866, 1945, 2065, 2200, 2253, 2389, 2437, 2505, 2635, 2788, 3007]"
167,21,"[39, 191, 268, 554, 760, 809, 1112, 1279, 1439, 1457, 1515, 1616, 1741, 1853, 1885, 2204, 2234, 2270, 2534, 2901, 3046]"
168,21,"[125, 305, 333, 380, 539, 599, 614, 1157, 1325, 1355, 1391, 1487, 1496, 1604, 1685, 1692, 1982, 2110, 2147, 2388, 2969]"
169,25,"[179, 193, 234, 256, 271, 275, 281, 367, 696, 788, 790, 990, 1294, 1345, 1422, 1584, 1613, 1740, 1814, 1816, 1897, 2264, 2758, 2873, 3002]"
170,24,"[46, 110, 175, 255, 705, 1016, 1153, 1267, 1285, 1293, 1428, 1555, 1591, 1642, 1669, 1695, 1884, 2025, 2558, 2628, 2631, 2812, 2937, 2981]"
171,17,"[276, 445, 484, 671, 675, 834, 973, 979, 1012, 1044, 1053, 1360, 1367, 1787, 1941, 1966, 2968]"
172,17,"[770, 819, 1049, 1066, 1404, 1461, 1569, 1610, 1860, 1895, 1900, 1924, 2032, 2042, 2111, 2586, 2664]"
173,26,"[121, 381, 492, 596, 601, 685, 692, 712, 824, 887, 1117, 1686, 1759, 1844, 1914, 1929, 2006, 2189, 2208, 2267, 2278, 2301, 2420, 2479, 2598, 2935]"
174,23,"[143, 189, 400, 440, 567, 611, 666, 785, 820, 857, 1145, 1224, 1315, 1338, 1383, 1432, 1573, 1797, 1870, 2245, 2441, 2769, 2891]"
175,24,"[44, 95, 214, 379, 472, 551, 726, 1081, 1158, 1176, 1252, 1744, 1859, 2091, 2283, 2355, 2410, 2620, 2645, 2691, 2837, 2890, 2942, 2991]"
176,31,"[73, 146, 294, 300, 514, 605, 672, 681, 759, 761, 769, 994, 1254, 1281, 1334, 1574, 1656, 1761, 1858, 1864, 1920, 2020, 2108, 2134, 2165, 2518, 2546, 2553, 2588, 2763, 2864]"
177,26,"[83, 132, 200, 212, 251, 349, 412, 437, 531, 654, 694, 821, 926, 1155, 1351, 1650, 1922, 1961, 2019, 2059, 2289, 2491, 2572, 2686, 2811, 2902]"
178,33,"[5, 280, 388, 448, 560, 682, 713, 773, 831, 1353, 1387, 1416, 1421, 1611, 1627, 1658, 1697, 1785, 1812, 2073, 2346, 2352, 2424, 2508, 2509, 2653, 2683, 2730, 2731, 2735, 2764, 2770, 2918]"
179,30,"[2, 67, 160, 161, 348, 415, 480, 512, 519, 878, 1040, 1140, 1166, 1357, 1806, 1968, 2011, 2055, 2252, 2358, 2433, 2456, 2470, 2476, 2567, 2641, 2795, 2929, 2978, 3049]"
180,25,"[23, 239, 426, 487, 629, 849, 920, 935, 1094, 1131, 1408, 1462, 1575, 1691, 1833, 1959, 1996, 2279, 2396, 2452, 2467, 2490, 2610, 2612, 2676]"
181,25,"[127, 135, 241, 361, 648, 702, 833, 1059, 1147, 1227, 1358, 1370, 1624, 1648, 1660, 1727, 1881, 1988, 1995, 2281, 2317, 2340, 2411, 2436, 2498]"
182,31,"[25, 42, 221, 340, 391, 498, 690, 717, 744, 907, 1144, 1162, 1196, 1375, 1493, 1514, 1599, 1607, 1700, 1972, 2049, 2093, 2145, 2149, 2263, 2394, 2440, 2568, 2589, 2847, 2958]"
183,31,"[28, 55, 79, 222, 261, 301, 647, 691, 944, 1020, 1038, 1060, 1065, 1226, 1423, 1450, 1502, 1832, 1956, 2044, 2244, 2338, 2360, 2496, 2510, 2695, 2720, 2784, 2840, 2936, 2977]"
184,23,"[6, 174, 187, 416, 456, 593, 639, 754, 917, 1005, 1077, 1097, 1146, 1332, 1888, 2015, 2100, 2293, 2325, 2342, 2374, 2501, 2930]"
185,26,"[77, 131, 468, 506, 610, 720, 972, 1033, 1214, 1248, 1409, 1572, 1788, 1840, 2249, 2261, 2311, 2348, 2377, 2552, 2580, 2602, 2771, 2806, 2817, 2943]"
186,33,"[101, 124, 325, 407, 513, 789, 893, 985, 1023, 1026, 1027, 1034, 1160, 1167, 1191, 1379, 1447, 1594, 1638, 1707, 1811, 1880, 2140, 2198, 2238, 2332, 2408, 2597, 2753, 2773, 2787, 2954, 3015]"
187,31,"[56, 74, 219, 339, 504, 591, 839, 1210, 1246, 1292, 1382, 1494, 1553, 1597, 1655, 1677, 1786, 1894, 1898, 1973, 2118, 2161, 2356, 2431, 2527, 2668, 2673, 2725, 2950, 3018, 3029]"
188,35,"[326, 473, 486, 659, 827, 864, 873, 1071, 1165, 1225, 1326, 1511, 1579, 1637, 1661, 1732, 1765, 1782, 1790, 1793, 1830, 1997, 2096, 2126, 2209, 2326, 2439, 2458, 2660, 2696, 2741, 2846, 2885, 2887, 2964]"
