Value,Occurrences,Indices
179,29,"[9, 219, 238, 240, 299, 313, 583, 629, 645, 1002, 1115, 1173, 1206, 1285, 1293, 1457, 1544, 1778, 1800, 1862, 2012, 2082, 2103, 2227, 2480, 2498, 2545, 2564, 2591]"
180,40,"[52, 82, 96, 119, 137, 148, 202, 234, 239, 440, 483, 501, 503, 521, 604, 639, 665, 849, 1139, 1178, 1193, 1278, 1291, 1425, 1528, 1613, 1729, 1751, 1776, 1957, 1978, 2115, 2159, 2185, 2203, 2248, 2287, 2371, 2522, 2595]"
181,31,"[263, 312, 370, 607, 609, 643, 671, 737, 739, 775, 813, 979, 1040, 1163, 1209, 1262, 1280, 1296, 1402, 1512, 1521, 1599, 1974, 2009, 2133, 2173, 2250, 2273, 2294, 2424, 2500]"
182,29,"[153, 162, 223, 288, 425, 506, 513, 642, 664, 703, 798, 953, 1297, 1373, 1380, 1423, 1498, 1587, 1709, 1714, 1724, 1994, 2062, 2080, 2178, 2430, 2485, 2507, 2517]"
183,46,"[8, 95, 101, 114, 151, 167, 284, 309, 355, 378, 431, 441, 462, 544, 568, 571, 605, 610, 662, 722, 899, 988, 1257, 1405, 1462, 1560, 1598, 1764, 1769, 1795, 1958, 2097, 2107, 2109, 2216, 2232, 2238, 2261, 2297, 2309, 2330, 2359, 2481, 2499, 2523, 2537]"
184,36,"[46, 61, 194, 319, 338, 379, 510, 533, 555, 781, 818, 861, 874, 1007, 1087, 1135, 1143, 1270, 1295, 1385, 1427, 1452, 1468, 1576, 1586, 1597, 1679, 2189, 2256, 2364, 2413, 2414, 2431, 2437, 2557, 2565]"
185,29,"[23, 80, 175, 217, 249, 337, 491, 750, 939, 1090, 1339, 1392, 1618, 1742, 1843, 1864, 1927, 1989, 2230, 2274, 2387, 2400, 2405, 2418, 2423, 2428, 2457, 2509, 2531]"
186,42,"[16, 65, 90, 170, 207, 257, 258, 393, 433, 436, 548, 601, 685, 701, 727, 884, 989, 1028, 1148, 1154, 1162, 1230, 1438, 1467, 1506, 1531, 1683, 1755, 1779, 1814, 1855, 1861, 1877, 1878, 2193, 2196, 2255, 2289, 2306, 2425, 2427, 2453]"
187,39,"[7, 25, 131, 143, 160, 295, 297, 328, 418, 447, 448, 511, 621, 640, 713, 847, 863, 1013, 1043, 1088, 1132, 1157, 1328, 1515, 1590, 1704, 1732, 1787, 1947, 2014, 2099, 2108, 2181, 2223, 2319, 2441, 2452, 2552, 2589]"
188,42,"[48, 173, 215, 350, 459, 560, 771, 897, 978, 993, 1071, 1105, 1252, 1290, 1331, 1336, 1441, 1509, 1516, 1535, 1541, 1555, 1580, 1589, 1675, 1725, 1758, 1761, 1781, 1794, 1797, 1918, 2105, 2149, 2175, 2237, 2277, 2291, 2334, 2355, 2365, 2546]"
189,32,"[87, 171, 187, 243, 275, 354, 415, 586, 791, 893, 998, 1016, 1018, 1053, 1210, 1227, 1277, 1367, 1437, 1472, 1620, 1831, 1890, 1991, 2007, 2025, 2295, 2366, 2370, 2398, 2477, 2550]"
190,32,"[68, 293, 307, 361, 545, 582, 599, 602, 826, 992, 1122, 1185, 1253, 1337, 1343, 1459, 1522, 1564, 1573, 1658, 1684, 1697, 1745, 1821, 1847, 2026, 2156, 2168, 2233, 2259, 2390, 2515]"
191,51,"[118, 125, 132, 291, 305, 320, 376, 388, 399, 434, 460, 528, 695, 709, 735, 778, 855, 882, 932, 1010, 1023, 1047, 1080, 1092, 1124, 1127, 1192, 1196, 1244, 1312, 1315, 1333, 1351, 1384, 1442, 1470, 1520, 1527, 1827, 1879, 1924, 1944, 2050, 2161, 2198, 2246, 2335, 2378, 2468, 2471, 2478]"
192,43,"[12, 37, 138, 199, 220, 235, 264, 477, 587, 692, 743, 768, 808, 860, 946, 975, 1042, 1046, 1140, 1181, 1186, 1195, 1214, 1215, 1301, 1409, 1417, 1440, 1736, 1775, 1901, 1936, 2035, 2074, 2140, 2152, 2460, 2501, 2503, 2508, 2536, 2578, 2587]"
193,58,"[42, 75, 224, 236, 302, 347, 366, 396, 420, 455, 517, 541, 542, 564, 741, 763, 843, 876, 994, 1120, 1155, 1376, 1416, 1474, 1494, 1507, 1571, 1608, 1645, 1689, 1805, 1825, 1839, 1851, 1868, 1870, 1888, 1940, 1965, 2011, 2019, 2044, 2051, 2057, 2094, 2123, 2147, 2160, 2164, 2195, 2228, 2323, 2350, 2351, 2496, 2514, 2533, 2549]"
194,32,"[10, 57, 89, 105, 232, 298, 316, 551, 575, 603, 677, 773, 925, 1121, 1182, 1191, 1371, 1400, 1448, 1623, 1682, 1699, 1830, 1969, 2055, 2098, 2138, 2354, 2393, 2562, 2581, 2585]"
195,51,"[20, 28, 39, 63, 103, 213, 333, 390, 422, 449, 486, 497, 514, 515, 529, 534, 567, 606, 823, 825, 850, 933, 940, 974, 1050, 1067, 1101, 1116, 1146, 1158, 1200, 1216, 1374, 1465, 1471, 1551, 1786, 1904, 1982, 2041, 2096, 2137, 2182, 2202, 2317, 2343, 2373, 2389, 2401, 2404, 2482]"
196,42,"[54, 62, 102, 197, 198, 247, 261, 334, 358, 360, 437, 496, 576, 616, 644, 848, 986, 999, 1004, 1054, 1070, 1084, 1160, 1377, 1415, 1469, 1489, 1585, 1717, 1735, 1852, 1873, 1889, 1898, 1911, 1955, 1970, 2022, 2463, 2506, 2527, 2534]"
